WaveTrajectory,PtIndex,Lat,Lon,Time
58,11,6.30921697616577,-50.517822265625,2000060115
58,12,6.43907117843628,-51.3806457519531,2000060118
58,13,6.6952919960022,-51.9811401367188,2000060121
58,14,6.50607776641846,-53.0195617675781,2000060200
58,15,5.9969630241394,-54.8943481445313,2000060203
58,16,6.06863498687744,-56.2917785644531,2000060206
58,17,6.91661500930786,-56.6846923828125,2000060209
58,18,7.43958806991577,-57.5377807617188,2000060212
58,19,8.31578922271729,-58.7991333007813,2000060215
58,20,8.91709041595459,-60.385986328125,2000060218
58,21,9.30931568145752,-61.9366149902344,2000060221
58,22,8.95117282867432,-63.3949279785156,2000060300
58,23,8.49507141113281,-64.3988647460938,2000060303
58,24,7.50607395172119,-65.5494079589844,2000060306
58,25,7.28426790237427,-66.1115112304688,2000060309
58,26,6.3443808555603,-67.4055480957031,2000060312
58,27,6.15153121948242,-68.2294006347656,2000060315
58,28,5.88552522659302,-69.2872314453125,2000060318
58,29,5.59035301208496,-69.7754516601563,2000060321
58,30,5.10624599456787,-70.2208557128906,2000060400
61,0,8.02091121673584,-25.3817138671875,2000060121
61,1,7.82672119140625,-27.1313781738281,2000060200
61,2,7.64690685272217,-28.3517150878906,2000060203
61,3,6.95149087905884,-29.9996948242188,2000060206
61,4,7.50666999816895,-30.1832885742188,2000060209
61,5,7.68589210510254,-31.0350036621094,2000060212
61,6,7.46998500823975,-32.0186157226563,2000060215
61,7,7.25830984115601,-33.1145629882813,2000060218
61,8,7.52119302749634,-33.8900451660156,2000060221
61,9,8.02248096466064,-34.3729553222656,2000060300
61,10,8.09145736694336,-35.1934204101563,2000060303
61,11,8.25887775421143,-35.6806945800781,2000060306
61,12,8.34053611755371,-36.1412963867188,2000060309
61,13,8.39279747009277,-36.9241027832031,2000060312
61,14,8.19343280792236,-37.7271728515625,2000060315
61,15,7.7102952003479,-39.076904296875,2000060318
61,16,7.52458381652832,-39.9888916015625,2000060321
61,17,7.99069213867188,-40.3949584960938,2000060400
61,18,8.45761108398438,-40.4132690429688,2000060403
61,19,8.76182556152344,-40.8117065429688,2000060406
61,20,9.18720722198486,-41.2971801757813,2000060409
61,21,9.54511070251465,-41.623779296875,2000060412
61,22,9.94434833526611,-42.3289184570313,2000060415
61,23,10.2782554626465,-44.0435180664063,2000060418
61,24,10.4358882904053,-45.6189880371094,2000060421
62,0,21.3417224884033,-61.9939270019531,2000060209
62,1,20.9054164886475,-62.5609436035156,2000060212
62,2,20.4207859039307,-63.4580383300781,2000060215
62,3,20.3348808288574,-64.6215515136719,2000060218
62,4,20.0459499359131,-65.5540466308594,2000060221
62,5,19.4745292663574,-67.5149536132813,2000060300
62,6,19.5025367736816,-68.38232421875,2000060303
62,7,19.6797142028809,-69.1018371582031,2000060306
62,8,20.3511695861816,-69.4353942871094,2000060309
65,6,6.94661092758179,-20.3818054199219,2000060621
65,7,7.5041618347168,-21.2996520996094,2000060700
65,8,7.87007284164429,-22.0965576171875,2000060703
65,9,8.46565818786621,-22.5817260742188,2000060706
65,10,8.9759407043457,-22.9121704101563,2000060709
65,11,9.26938343048096,-23.3829650878906,2000060712
65,12,9.27477931976318,-23.8656616210938,2000060715
65,13,9.21389484405518,-24.6530456542969,2000060718
65,14,9.07790184020996,-25.7110900878906,2000060721
65,15,9.00749969482422,-26.4350280761719,2000060800
65,16,8.80595016479492,-27.150634765625,2000060803
65,17,8.51458835601807,-27.7565002441406,2000060806
65,18,8.07963562011719,-28.3447265625,2000060809
65,19,7.62816190719604,-29.06884765625,2000060812
65,20,7.22277402877808,-29.8638916015625,2000060815
65,21,6.85277700424194,-30.5189819335938,2000060818
65,22,6.43908786773682,-31.1406555175781,2000060821
65,23,6.19203615188599,-31.5706481933594,2000060900
65,24,5.89427518844604,-31.9213256835938,2000060903
65,25,5.64779186248779,-32.3372192382813,2000060906
65,26,5.6660270690918,-32.666015625,2000060909
65,27,5.77635097503662,-33.0079650878906,2000060912
65,28,5.7460150718689,-33.40185546875,2000060915
65,29,5.78612518310547,-33.7224731445313,2000060918
65,30,6.10625219345093,-33.8643798828125,2000060921
65,31,6.21110200881958,-34.2533569335938,2000061000
65,32,6.48330402374268,-34.5564270019531,2000061003
65,33,6.50579309463501,-35.17822265625,2000061006
65,34,6.73625802993774,-35.7552490234375,2000061009
65,35,6.88406801223755,-36.4740600585938,2000061012
65,36,7.02991485595703,-37.1613159179688,2000061015
65,37,7.48662614822388,-37.0769348144531,2000061018
65,38,7.68059921264648,-37.2424011230469,2000061021
65,39,8.12875938415527,-37.6171569824219,2000061100
65,40,8.23292922973633,-38.2640075683594,2000061103
68,0,7.10218620300293,-61.0146179199219,2000060821
68,1,7.11759376525879,-62.2799987792969,2000060900
68,2,6.79918384552002,-62.7825927734375,2000060903
68,3,6.48632001876831,-63.3091125488281,2000060906
68,4,6.10366678237915,-63.6322326660156,2000060909
68,5,6.016432762146,-63.7685241699219,2000060912
68,6,6.41586208343506,-64.3105163574219,2000060915
68,7,6.9433331489563,-64.4067993164063,2000060918
68,8,7.44264316558838,-65.0203247070313,2000060921
68,9,6.97756004333496,-65.8639221191406,2000061000
68,10,6.74387979507446,-66.4120178222656,2000061003
68,11,6.57696199417114,-66.9608154296875,2000061006
68,12,6.57311391830444,-67.4488525390625,2000061009
68,13,6.73285293579102,-67.8295593261719,2000061012
68,14,7.90143489837646,-68.8639221191406,2000061015
68,15,8.45426845550537,-69.8404541015625,2000061018
69,0,8.58275413513184,-39.9806518554688,2000060903
69,1,8.19821453094482,-39.5308532714844,2000060906
69,2,7.51081323623657,-39.5320434570313,2000060909
69,3,6.78411388397217,-39.9675903320313,2000060912
69,4,6.22242212295532,-40.5404052734375,2000060915
69,5,5.35089683532715,-40.78955078125,2000060918
69,8,5.02264499664307,-42.3414916992188,2000061003
69,9,5.40590476989746,-43.0169372558594,2000061006
69,10,5.32458782196045,-43.396484375,2000061009
69,11,5.26521492004395,-43.8293762207031,2000061012
69,12,4.98212289810181,-43.98095703125,2000061015
69,15,4.78832578659058,-44.6145629882813,2000061100
69,17,4.84868907928467,-45.8666687011719,2000061106
69,18,5.0924859046936,-46.5823364257813,2000061109
69,19,5.36912107467651,-47.2225952148438,2000061112
69,20,5.42611598968506,-48.0011901855469,2000061115
69,21,5.26125001907349,-49.0467224121094,2000061118
69,22,5.47929811477661,-49.6339721679688,2000061121
69,23,6.73964691162109,-49.2523498535156,2000061200
69,24,7.13872718811035,-49.7286376953125,2000061203
69,25,7.17313289642334,-50.5189208984375,2000061206
69,26,6.88136911392212,-51.4974670410156,2000061209
69,27,6.477942943573,-52.6304321289063,2000061212
69,28,6.48406314849854,-53.6317443847656,2000061215
69,29,6.5153431892395,-54.3829956054688,2000061218
69,30,6.45176315307617,-55.4476623535156,2000061221
69,31,6.47316980361938,-56.5975341796875,2000061300
69,32,6.43697500228882,-57.6447143554688,2000061303
69,33,6.34120893478394,-58.2655639648438,2000061306
69,34,6.02004909515381,-59.2424926757813,2000061309
69,35,6.4698920249939,-60.2703247070313,2000061312
73,3,8.14266109466553,-20.6027221679688,2000061221
73,4,9.39557552337646,-21.9006042480469,2000061300
73,5,9.82616424560547,-23.3730773925781,2000061303
73,6,10.1709613800049,-24.8666381835938,2000061306
73,7,10.6190538406372,-26.2322082519531,2000061309
73,8,10.7445783615112,-27.6846313476563,2000061312
73,9,11.0011501312256,-29.01123046875,2000061315
73,10,11.7836885452271,-30.2025451660156,2000061318
73,11,12.9897165298462,-31.2415466308594,2000061321
73,12,12.6453189849854,-32.1924743652344,2000061400
73,13,11.5080966949463,-33.2200317382813,2000061403
73,14,10.4981374740601,-34.1383056640625,2000061406
73,15,10.1200265884399,-35.0260620117188,2000061409
73,16,10.2996559143066,-35.8087158203125,2000061412
73,17,10.2343759536743,-37.0905151367188,2000061415
73,18,10.1994104385376,-38.0765991210938,2000061418
73,19,9.99246406555176,-39.68115234375,2000061421
74,1,15.8975076675415,-20.7470703125,2000061403
74,2,15.820164680481,-21.6039123535156,2000061406
74,3,15.4610824584961,-22.3824462890625,2000061409
74,4,15.169605255127,-22.0343627929688,2000061412
74,5,14.9185132980347,-22.6154174804688,2000061415
