cost|feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.8910314621887|-0.4660451141174944|-0.47371115424138366|1.0|0.8510971786833855|1.0|0.8554033485540334
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.3028516747138|-0.4660451141174944|-0.4730165366091972|1.0|0.8463949843260188|1.0|0.8550295857988166
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1248.3669254796373|-0.4660451141174944|-0.4742731667120792|1.0|0.8479623824451411|1.0|0.8550074738415545
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.0119174436034|-0.4660451141174944|-0.472672954508895|1.0|0.8495297805642633|1.0|0.8549848942598187
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.4129236742338|-0.4660451141174944|-0.4731465273931459|1.0|0.8479623824451411|1.0|0.8545727136431784
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.7290966619062|-0.4660451141174944|-0.47351991549102856|1.0|0.8495297805642633|1.0|0.8532110091743119
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1248.046678144488|-0.4660451141174944|-0.473894966967048|1.0|0.8495297805642633|1.0|0.8532110091743119
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.8283906170436|-0.4660451141174944|-0.4724562164087047|1.0|0.841692789968652|1.0|0.8525547445255476
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1248.0635269256838|-0.4660451141174944|-0.47391486472747557|1.0|0.8463949843260188|1.0|0.851963746223565
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1248.1831652730632|-0.4660451141174944|-0.47405615299909765|1.0|0.8463949843260188|1.0|0.851963746223565
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.9519255829637|-0.4660451141174944|-0.4726021064364596|1.0|0.8448275862068966|1.0|0.8506787330316742
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1248.4097728068014|-0.4660451141174944|-0.4743237677520571|1.0|0.8463949843260188|1.0|0.8506097560975608
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.9577946849186|-0.4660451141174944|-0.4726090376193901|1.0|0.8448275862068966|1.0|0.8502269288956127
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1248.6379835379569|-0.4660451141174944|-0.47459327581930166|1.0|0.8432601880877743|1.0|0.8493975903614458
